X,Y,M,Observations,N_Parameters,Effect,conf.high,conf.low,estimate,p.value,std.error
FamEnv Fact,ACC CA,PDS Par,6658,13,Apath,-0.141972098,-0.183498514,-0.162735306,0,0.010593668
FamEnv Fact,ACC CA,PDS Par,6658,13,Bpath,0.065855085,0.007848271,0.036851678,0.012762568,0.014797929
FamEnv Fact,ACC CA,PDS Par,6658,13,Direct,0.020798193,-0.028735614,-0.003968711,0.753468231,0.012636407
FamEnv Fact,ACC CA,PDS Par,6658,13,Indirect,-0.001213771,-0.010780367,-0.005997069,0.013998232,0.002440503
FamEnv Fact,ACC CA,PDS Par,6658,13,Total,0.014368949,-0.034300508,-0.00996578,0.422169945,0.012415906
FamEnv Fact,ACC CT,PDS Par,6658,13,Apath,-0.142045927,-0.183163372,-0.16260465,0,0.010489337
FamEnv Fact,ACC CT,PDS Par,6658,13,Bpath,-0.018756674,-0.078737909,-0.048747292,0.001443739,0.015301617
FamEnv Fact,ACC CT,PDS Par,6658,13,Direct,0.006649933,-0.044921655,-0.019135861,0.145806006,0.013156259
FamEnv Fact,ACC CT,PDS Par,6658,13,Indirect,0.012857644,0.002995429,0.007926536,0.001629606,0.002515917
FamEnv Fact,ACC CT,PDS Par,6658,13,Total,0.014010503,-0.036429152,-0.011209324,0.383680498,0.012867496
FamEnv Fact,Amygdala vol,PDS Par,6658,13,Apath,-0.142164338,-0.183333894,-0.162749116,0,0.010502631
FamEnv Fact,Amygdala vol,PDS Par,6658,13,Bpath,0.054430197,-0.003569938,0.025430129,0.085670762,0.014796225
FamEnv Fact,Amygdala vol,PDS Par,6658,13,Direct,0.023869057,-0.025455305,-0.000793124,0.949741417,0.012582977
FamEnv Fact,Amygdala vol,PDS Par,6658,13,Indirect,0.000604576,-0.008882038,-0.004138731,0.087238213,0.002420099
FamEnv Fact,Amygdala vol,PDS Par,6658,13,Total,0.01928961,-0.02915332,-0.004931855,0.689835603,0.012358118
FamEnv Fact,L AmygCON,PDS Par,6658,13,Apath,-0.142138436,-0.183876027,-0.163007232,0,0.010647541
FamEnv Fact,L AmygCON,PDS Par,6658,13,Bpath,-0.041433197,-0.101809786,-0.071621492,3.32E-06,0.015402474
FamEnv Fact,L AmygCON,PDS Par,6658,13,Direct,0.121023222,0.073141586,0.097082404,2.00E-15,0.012214928
FamEnv Fact,L AmygCON,PDS Par,6658,13,Indirect,0.016844671,0.006504971,0.011674821,9.60E-06,0.002637727
FamEnv Fact,L AmygCON,PDS Par,6658,13,Total,0.132313188,0.085201263,0.108757225,0,0.012018569
FamEnv Fact,R AmygCON,PDS Par,6658,13,Apath,-0.142241112,-0.183445016,-0.162843064,0,0.010511393
FamEnv Fact,R AmygCON,PDS Par,6658,13,Bpath,-0.035630745,-0.094212618,-0.064921681,1.40E-05,0.01494463
FamEnv Fact,R AmygCON,PDS Par,6658,13,Direct,0.099462374,0.050174307,0.07481834,2.68E-09,0.012573718
FamEnv Fact,R AmygCON,PDS Par,6658,13,Indirect,0.01556668,0.005577411,0.010572046,3.34E-05,0.00254833
FamEnv Fact,R AmygCON,PDS Par,6658,13,Total,0.109687284,0.061093488,0.085390386,5.65E-12,0.012396604
